Ticker,Date,Headline,Sentiment
CAT,10/09/2022,Is There An Opportunity With Caterpillar Inc.'s (NYSE:CAT) 25% Undervaluation?,1
CAT,10/10/2022,Will Caterpillar (CAT) Beat Estimates Again in Its Next Earnings Report?,1
CAT,10/11/2022,Caterpillar (CAT) Gains As Market Dips: What You Should Know,1
CAT,10/12/2022,2 Cathie Wood Investments That Could Deliver Superior Returns,1
CAT,10/12/2022,Caterpillar Inc. Maintains Dividend,1
CAT,10/13/2022,Caterpillar Inc.'s (NYSE:CAT) P/E Is On The Mark,1
CAT,10/13/2022,13 Best Industrial Stocks To Buy Now,1
CAT,10/13/2022,Caterpillar CEO to continue in post after company waives retirement policy,1
CAT,10/13/2022,UPDATE 2-Caterpillar CEO to continue in post after company waives retirement policy,-1
CAT,10/14/2022,"Stocks Edge Lower, Retail Sales, Bank Earnings, Caterpillar And Elon Musk In Focus - Five Things To Know",-1
CAT,10/17/2022,A Look At The Fair Value Of Caterpillar Inc. (NYSE:CAT),1
CAT,10/20/2022,Caterpillar (CAT) Earnings Expected to Grow: Should You Buy?,1
CAT,10/21/2022,Why This 1 Industrial Products Stock Could Be a Great Addition to Your Portfolio,1
CAT,10/21/2022,Caterpillar (NYSE:CAT) shareholders have earned a 13% CAGR over the last three years,1
CAT,10/24/2022,"Strong equipment, parts demand expected to lift Caterpillar sales",1
CAT,10/24/2022,"The Zacks Analyst Blog Highlights AstraZeneca, Caterpillar, Crown Castle, Nasdaq and American Water Works",1
CAT,10/25/2022,"For Caterpillar Inc. (NYSE:CAT) insiders, selling US$3.5m worth of stock earlier this year was a smart move.",1
CAT,10/26/2022,"Zacks Industry Outlook Highlights Caterpillar, Hitachi Construction Machinery, H&E Equipment Services, and Terex",1
CAT,10/26/2022,Caterpillar Q3 Preview: Can Shares Uphold Strength?,1
CAT,10/27/2022,Caterpillar beats profit estimates on strong equipment demand; shares rise,1
CAT,10/27/2022,Caterpillar stock pops 3.6% premarket after earnings beat,1
CAT,10/27/2022,Caterpillar (CAT) Beats Q3 Earnings and Revenue Estimates,1
CAT,10/27/2022,"Caterpillar May Keep Rallying After Earnings, but Beware of Resistance",1
CAT,10/27/2022,"Caterpillar reports strong earnings, resilient demand for Q3",1
CAT,10/27/2022,These 2 Dow Jones Stocks Are Riding Out the Bear Market Well,1
CAT,10/27/2022,Caterpillar Registers 21% Revenue Growth In Q3 Backed By Market Momentum,1
CAT,10/27/2022,"Caterpillar Says Construction Equipment Remains in Demand, Boosting Sales, Profit",1
CAT,10/27/2022,Caterpillar Surges Most in Two Years on Optimism Over Demand,1
CVX,10/27/2022,Chevron Corporation (CVX) Is a Trending Stock: Facts to Know Before Betting on It,1
CAT,10/27/2022,"What recession? Caterpillar keeps repeating that demand is ‘healthy,’ ‘strong’ and ‘robust’",1
CAT,10/31/2022,Climbing Caterpillar Meets Resistance: Here's What Could Happen Next,1
CAT,10/31/2022,"Caterpillar stock had a great October, and that earned it a downgrade",1
CVX,10/21/2022,4 High-Yield Dividend Stocks for Retirees Fighting Raging Inflation,1
CVX,10/21/2022,Why Schlumberger Led Energy Stocks Higher Today,1
CVX,10/23/2022,"The one-year returns for Chevron's (NYSE:CVX) shareholders have been favorable, yet its earnings growth was even better",1
CVX,10/24/2022,7 Stocks to Sell Before They Give Back This Year’s Gain,1
CVX,10/24/2022,Chevron Corporation (CVX) Is a Trending Stock: Facts to Know Before Betting on It,1
CVX,10/24/2022,Dow Jones Rallies After Key Economic Data; Tesla Dives After Cutting China Prices,1
CVX,10/24/2022,Chevron (CVX) Stock Sinks As Market Gains: What You Should Know,-1
CVX,10/25/2022,Will Price Gains Buoy Chevron's (CVX) Q3 Upstream Earnings?,-1
CVX,10/25/2022,7 Dow Stocks to Sell Before They Tumble,-1
CVX,10/25/2022,"This stock is likely to outperform Tesla, just like Chevron stock has beaten Meta Platforms",1
CVX,10/25/2022,Big Oil’s Second-Biggest Profit Haul Poses ‘Awkward’ Problem,1
CVX,10/27/2022,"Insiders sold US$1.4m worth of Chevron Corporation (NYSE:CVX) stock last year, could be a warning sign to watch out for",-1
CVX,10/27/2022,Chevron (CVX) Claims Methane Emission Cut by 50% Since 2016,1
CVX,10/27/2022,Why Earnings Season Could Be Great for Chevron (CVX),1
CVX,10/28/2022,Chevron (CVX) Surpasses Q3 Earnings and Revenue Estimates,1
CVX,10/28/2022,Chevron Clocks Over 80% Jump In Quarterly Earnings,1
CVX,10/28/2022,"Exxon, Chevron Reap $31 Billion Profit From Energy Crunch",1
CVX,10/28/2022,Chevron Earnings Crush Estimates on Higher Oil and Gas Prices. The Stock Rises.,1
CVX,10/28/2022,"Oil earnings: Exxon posts record profit, Chevron tops estimates",1
CVX,10/28/2022,Exxon Mobil and Chevron together take in more than $30 billion in net income as natural gas prices soared,1
CVX,10/28/2022,Chevron (CVX) is an Incredible Growth Stock: 3 Reasons Why,1
CVX,10/28/2022,Why Chevron Stock Barreled Toward an All-Time High Today,1
CVX,10/28/2022,"Exxon, Chevron Investors Risk Altitude Sickness",1
CVX,10/28/2022,"ExxonMobil, Chevron rake in record Q3 profits following oil price surge",1
CVX,10/28/2022,Oil Giants Face Backlash for Handing Record Profits to Investors,1
CVX,10/29/2022,Energy Companies Report Blowout Earnings,1
CVX,10/30/2022,Chevron's Stock Rises to a Record High as Earnings Soar: Time to Buy a Buffett Favorite?,1
CVX,10/31/2022,"Zacks.com featured highlights include Albemarle, Chevron, Jazz Pharmaceuticals and Cummins",1
CVX,10/31/2022,Cash key for Chevron and Exxon Mobil as Truist raises stock price targets,1
CVX,10/31/2022,"Energy shares shine again on Wall Street, lifted by earnings",1
TRV,10/12/2022,Analysts Estimate Travelers (TRV) to Report a Decline in Earnings: What to Look Out for,-1
TRV,10/17/2022,Travelers Institute to Host President and CEO of the Federal Reserve Bank of Minneapolis to Discuss the State of the Economy,1
TRV,10/19/2022,Travelers’ Results Highlight Car-Insurance Industry Challenges,-1
TRV,10/19/2022,"Travelers Reports Third Quarter 2022 Net Income of $454 million and Core Income of $526 million, Strong Results in Light of Hurricane Ian",1
TRV,10/19/2022,"Insurer Travelers profit falls on hurricane costs, lower investment returns",-1
TRV,10/19/2022,Travelers' (TRV) Q3 Earnings and Revenues Beat Estimates,1
TRV,10/19/2022,Travelers Earnings Hit by Hurricane Ian Losses,-1
TRV,10/20/2022,Arch Capital (ACGL) Expects Q3 Cat Loss Between $530M & $560M,-1
TRV,10/24/2022,Travelers Institute to Host National Association of Realtors® Chief Economist to Discuss Real Estate Market Outlook,1
TRV,10/25/2022,7 Dow Stocks to Sell Before They Tumble,-1
TRV,10/27/2022,11 Best Insurance Dividend Stocks To Buy Now,1
TRV,10/31/2022,"Institutional investors have a lot riding on The Travelers Companies, Inc. (NYSE:TRV) with 84% ownership",-1
JPM,10/14/2022,"JPMorgan's (JPM) Q3 Earnings Beat, High Credit Costs Ail",1
JPM,10/14/2022,JPMorgan beats on Q3 earnings,1
JPM,10/14/2022,JPMorgan profit falls but beats estimates while Morgan Stanley misses,1
JPM,10/14/2022,S&P 500 Stumbles as Signs of Higher for Longer Inflation Add to Fed Fears,-1
JPM,10/14/2022,"Retail Sales Flat, JPM, WFC Beat on Q3 & More",1
JPM,10/14/2022,It’s ‘interesting’ how strong banks are amid recessionary fears: strategist,1
JPM,10/14/2022,"JPMorgan Tops Estimates, Easing Worries of Economic Slowdown",1
JPM,10/14/2022,"WRAPUP 2-Wall Street banks' profits slide as economic clouds loom, some beat forecasts",1
JPM,10/14/2022,"Earnings: These banks ‘have way more capital than they need,’ veteran investor says",1
JPM,10/14/2022,"Banks Feast on Higher Rates, for Now",1
JPM,10/14/2022,"US STOCKS-Wall St tumbles on profit drop from big banks, inflation worries",-1
